event_number,time_s,event_type,actors,position_xy_m,position_ij,impulse_magnitude_Ns,pre_velocities_xy_mps,pre_velocities_ij_mps,post_velocities_xy_mps,post_velocities_ij_mps,impulse_vectors_xy_Ns,impulse_vectors_ij_Ns,avg_force_vectors_ij_N
1,0.106319,ball-ball,"('A', 'C')","(1.3965, 0.3142)",r = 1.3965 i + 0.3142 j,0.961624,"A: (0.0000, 0.0000); B: (0.0000, 0.0000); C: (5.6814, -4.2581)",A: v = 0.0 i; B: v = 0.0 i; C: v = 5.6814 i - 4.2581 j,"A: (4.4620, 1.0291); B: (0.0000, 0.0000); C: (1.2194, -5.2872)",A: v = 4.462 i + 1.0291 j; B: v = 0.0 i; C: v = 1.2194 i - 5.2872 j,"A: (0.9370, 0.2161); C: (-0.9370, -0.2161)",A: J = 0.937 i + 0.2161 j; C: J = -0.937 i - 0.2161 j,A: F_avg = 937.026 i + 216.1104 j; C: F_avg = -937.026 i - 216.1104 j
2,0.158622,ball-wall,"('C', 'bottom')","(1.4303, 0.0307)",r = 1.4303 i + 0.0307 j,2.220617,"A: (4.4620, 1.0291); B: (0.0000, 0.0000); C: (1.2194, -5.2872)",A: v = 4.462 i + 1.0291 j; B: v = 0.0 i; C: v = 1.2194 i - 5.2872 j,"A: (4.4620, 1.0291); B: (0.0000, 0.0000); C: (1.2194, 5.2872)",A: v = 4.462 i + 1.0291 j; B: v = 0.0 i; C: v = 1.2194 i + 5.2872 j,"C: (0.0000, 2.2206)",C: J = 0.0 i + 2.2206 j,C: F_avg = 0.0 i + 2220.617 j
3,0.434478,ball-wall,"('C', 'top')","(1.7667, 1.4892)",r = 1.7667 i + 1.4892 j,2.220617,"A: (4.4620, 1.0291); B: (0.0000, 0.0000); C: (1.2194, 5.2872)",A: v = 4.462 i + 1.0291 j; B: v = 0.0 i; C: v = 1.2194 i + 5.2872 j,"A: (4.4620, 1.0291); B: (0.0000, 0.0000); C: (1.2194, -5.2872)",A: v = 4.462 i + 1.0291 j; B: v = 0.0 i; C: v = 1.2194 i - 5.2872 j,"C: (0.0000, -2.2206)",C: J = 0.0 i - 2.2206 j,C: F_avg = 0.0 i - 2220.617 j
4,0.463282,ball-wall,"('A', 'right')","(3.0192, 0.6885)",r = 3.0192 i + 0.6885 j,1.874052,"A: (4.4620, 1.0291); B: (0.0000, 0.0000); C: (1.2194, -5.2872)",A: v = 4.462 i + 1.0291 j; B: v = 0.0 i; C: v = 1.2194 i - 5.2872 j,"A: (-4.4620, 1.0291); B: (0.0000, 0.0000); C: (1.2194, -5.2872)",A: v = -4.462 i + 1.0291 j; B: v = 0.0 i; C: v = 1.2194 i - 5.2872 j,"A: (-1.8741, 0.0000)",A: J = -1.8741 i,A: F_avg = -1874.052 i
5,0.570838,ball-ball,"('B', 'C')","(1.9407, 0.7385)",r = 1.9407 i + 0.7385 j,1.139001,"A: (-4.4620, 1.0291); B: (0.0000, 0.0000); C: (1.2194, -5.2872)",A: v = -4.462 i + 1.0291 j; B: v = 0.0 i; C: v = 1.2194 i - 5.2872 j,"A: (-4.4620, 1.0291); B: (1.3677, -5.2485); C: (-0.1483, -0.0386)",A: v = -4.462 i + 1.0291 j; B: v = 1.3677 i - 5.2485 j; C: v = -0.1483 i - 0.0386 j,"B: (0.2872, -1.1022); C: (-0.2872, 1.1022)",B: J = 0.2872 i - 1.1022 j; C: J = -0.2872 i + 1.1022 j,B: F_avg = 287.2117 i - 1102.1949 j; C: F_avg = -287.2117 i + 1102.1949 j
6,0.700021,ball-wall,"('B', 'bottom')","(2.1252, 0.0308)",r = 2.1252 i + 0.0308 j,2.204390,"A: (-4.4620, 1.0291); B: (1.3677, -5.2485); C: (-0.1483, -0.0386)",A: v = -4.462 i + 1.0291 j; B: v = 1.3677 i - 5.2485 j; C: v = -0.1483 i - 0.0386 j,"A: (-4.4620, 1.0291); B: (1.3677, 5.2485); C: (-0.1483, -0.0386)",A: v = -4.462 i + 1.0291 j; B: v = 1.3677 i + 5.2485 j; C: v = -0.1483 i - 0.0386 j,"B: (0.0000, 2.2044)",B: J = 0.0 i + 2.2044 j,B: F_avg = 0.0 i + 2204.3898 j
