event_number,time_s,event_type,actors,position_xy_m,position_ij,impulse_magnitude_Ns,pre_velocities_xy_mps,pre_velocities_ij_mps,post_velocities_xy_mps,post_velocities_ij_mps,impulse_vectors_xy_Ns,impulse_vectors_ij_Ns,avg_force_vectors_ij_N
1,0.095595,ball-ball,"('B', 'C')","(0.3304, 1.3038)",r = 0.3304 i + 1.3038 j,0.743631,"A: (0.0000, 0.0000); B: (0.0000, 0.0000); C: (-4.2006, 5.7241)",A: v = 0.0 i; B: v = 0.0 i; C: v = -4.2006 i + 5.7241 j,"A: (0.0000, 0.0000); B: (-3.5193, -0.3920); C: (-0.6813, 6.1161)",A: v = 0.0 i; B: v = -3.5193 i - 0.392 j; C: v = -0.6813 i + 6.1161 j,"B: (-0.7391, -0.0823); C: (0.7391, 0.0823)",B: J = -0.7391 i - 0.0823 j; C: J = 0.7391 i + 0.0823 j,B: F_avg = -739.0598 i - 82.3224 j; C: F_avg = 739.0598 i + 82.3224 j
2,0.125362,ball-wall,"('C', 'top')","(0.3407, 1.4892)",r = 0.3407 i + 1.4892 j,2.568756,"A: (0.0000, 0.0000); B: (-3.5193, -0.3920); C: (-0.6813, 6.1161)",A: v = 0.0 i; B: v = -3.5193 i - 0.392 j; C: v = -0.6813 i + 6.1161 j,"A: (0.0000, 0.0000); B: (-3.5193, -0.3920); C: (-0.6813, -6.1161)",A: v = 0.0 i; B: v = -3.5193 i - 0.392 j; C: v = -0.6813 i - 6.1161 j,"C: (0.0000, -2.5688)",C: J = 0.0 i - 2.5688 j,C: F_avg = 0.0 i - 2568.7563 j
3,0.172050,ball-wall,"('B', 'left')","(0.0307, 1.2704)",r = 0.0307 i + 1.2704 j,1.478120,"A: (0.0000, 0.0000); B: (-3.5193, -0.3920); C: (-0.6813, -6.1161)",A: v = 0.0 i; B: v = -3.5193 i - 0.392 j; C: v = -0.6813 i - 6.1161 j,"A: (0.0000, 0.0000); B: (3.5193, -0.3920); C: (-0.6813, -6.1161)",A: v = 0.0 i; B: v = 3.5193 i - 0.392 j; C: v = -0.6813 i - 6.1161 j,"B: (1.4781, 0.0000)",B: J = 1.4781 i,B: F_avg = 1478.1196 i
4,0.273667,ball-ball,"('A', 'C')","(0.2343, 0.5519)",r = 0.2343 i + 0.5519 j,1.289805,"A: (0.0000, 0.0000); B: (3.5193, -0.3920); C: (-0.6813, -6.1161)",A: v = 0.0 i; B: v = 3.5193 i - 0.392 j; C: v = -0.6813 i - 6.1161 j,"A: (-1.0593, -6.0499); B: (3.5193, -0.3920); C: (0.3781, -0.0662)",A: v = -1.0593 i - 6.0499 j; B: v = 3.5193 i - 0.392 j; C: v = 0.3781 i - 0.0662 j,"A: (-0.2225, -1.2705); C: (0.2225, 1.2705)",A: J = -0.2225 i - 1.2705 j; C: J = 0.2225 i + 1.2705 j,A: F_avg = -222.4608 i - 1270.4758 j; C: F_avg = 222.4608 i + 1270.4758 j
5,0.354805,ball-wall,"('A', 'bottom')","(0.1431, 0.0308)",r = 0.1431 i + 0.0308 j,2.540952,"A: (-1.0593, -6.0499); B: (3.5193, -0.3920); C: (0.3781, -0.0662)",A: v = -1.0593 i - 6.0499 j; B: v = 3.5193 i - 0.392 j; C: v = 0.3781 i - 0.0662 j,"A: (-1.0593, 6.0499); B: (3.5193, -0.3920); C: (0.3781, -0.0662)",A: v = -1.0593 i + 6.0499 j; B: v = 3.5193 i - 0.392 j; C: v = 0.3781 i - 0.0662 j,"A: (0.0000, 2.5410)",A: J = 0.0 i + 2.541 j,A: F_avg = 0.0 i + 2540.9516 j
